pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraforming_score
Kepler-16 b,8.449,105.833,228.776,912.5307146386988,4450.0,0.69,0.65,-0.3,356.2653573193494,68.0,1.482553883660656,98.2553883660656,129,204
Kepler-920 b,2.42,6.44,6.53192704,907.0,5403.0,0.89,0.85,0.0,353.5,80.0,1.099651663137764,59.96516631377639,124,163
Kepler-874 b,3.94,14.7,40.0686727,560.0,6020.0,1.09,1.13,0.03,180.0,81.19999999999999,0.9469452961941817,44.69452961941817,78,121
Kepler-876 b,1.43,2.63,5.14438011,923.0,5060.0,0.81,0.77,-0.03,361.5,78.8,1.2861264609516359,78.61264609516358,130,160
Kepler-877 b,2.12,5.14,18.45847097,632.0,5261.0,0.85,0.81,-0.06,216.0,77.60000000000001,1.1436454254182982,64.36454254182982,90,119
Kepler-1619 b,0.76,0.363,23.6225913,797.0,5852.0,1.0,1.0,-0.07,298.5,77.2,0.6284626038781164,12.846260387811636,100,127
Kepler-1443 b,0.97,0.871,2.41811321,1602.0,6289.0,1.19,1.27,0.0,701.0,80.0,0.9257094271442237,42.570942714422365,208,258
Kepler-597 b,2.37,6.21,13.02365861,743.0,5683.0,0.97,0.95,-0.01,271.5,79.60000000000001,1.1055920525556802,60.55920525556802,104,139
Kepler-312 b,1.29,2.21,1.772419,1685.0,6115.0,1.31,1.47,0.15,742.5,86.0,1.3280451895919716,82.80451895919715,228,282
Kepler-1921 c,1.41,2.57,3.15722086,1791.0,6120.0,1.25,2.0,0.02,795.5,80.80000000000001,1.2926915145113427,79.26915145113426,239,296
Kepler-182 c,3.43,11.6,20.684342,729.0,6250.0,1.11,1.15,0.072,264.5,82.88,0.985983731268434,48.5983731268434,101,146
Kepler-172 c,2.86,8.55,6.388996,970.0,5526.0,1.08,1.08,0.39,385.0,95.60000000000001,1.0452833879407308,54.528338794073086,136,179
Kepler-219 b,2.95,9.01,4.585512,1307.0,5786.0,1.16,1.49,0.36,553.5,94.39999999999999,1.0353346739442688,53.53346739442688,177,231
Kepler-165 c,2.23,5.6,15.31299,581.0,5211.0,0.75,0.77,-0.25,190.5,70.0,1.1261034808662953,62.61034808662953,81,110
Kepler-222 c,4.64,19.4,10.08881,734.0,5433.0,0.93,0.87,0.33,267.0,93.2,0.9010850178359097,40.10850178359097,103,151
TOI-270 b,1.206,1.58,3.3601538,581.0,3506.0,0.39,0.38,-0.2,190.5,72.0,1.0863317464639215,58.63317464639215,81,94
TOI-3540 A b,23.539,375.03752,3.119999,1498.0,5810.0,1.08,1.23,0.176,649.0,87.04,0.67685976739278,17.685976739277997,192,388
TOI-3568 b,5.3,26.4,4.417965,899.0,4969.0,0.78,0.72,-0.01,349.5,79.60000000000001,0.9398362406550373,43.98362406550373,120,175
HD 93963 A c,3.12,18.4,3.6451389,1212.45218529,5908.0,1.08,1.03,0.11,506.22609264499994,84.39999999999999,1.890203813280736,139.0203813280736,180,233
TOI-1246 b,3.01,8.1,4.30744,955.0,5151.0,0.87,0.86,0.17,377.5,86.8,0.8940298672200088,39.402986722000875,128,170
Kepler-1676 b,3.377,11.3,29.9221,782.0,5878.3,1.07,1.06,0.135,291.0,85.39999999999999,0.9908691843103494,49.086918431034945,108,152
Kepler-743 b,1.21,1.92,3.17926292,1101.0,5486.0,0.94,0.85,0.01,450.5,80.39999999999999,1.3113858343009357,81.13858343009358,153,189
Kepler-419 c,12.6,2320.1,675.47,912.5307146386988,6430.0,1.39,1.74,0.176,356.2653573193494,87.04,14.613882590073066,1411.3882590073067,397,509
Kepler-265 c,2.63,7.41,17.028937,755.0,5835.0,0.97,1.1,-0.11,277.5,75.6,1.0712891613294975,57.12891613294975,103,142
Kepler-539 c,13.3,762.792,1000.0,253.0,5820.0,1.05,0.95,-0.01,26.5,79.60000000000001,4.312239244728362,381.2239244728362,107,204
Kepler-887 b,1.84,4.04,20.42228798,785.0,6194.0,1.19,1.29,0.08,292.5,83.2,1.193289224952741,69.3289224952741,112,147
Kepler-885 b,2.5,6.8,18.11472949,830.0,6187.0,1.21,1.35,0.11,315.0,84.39999999999999,1.088,58.80000000000001,116,157
Kepler-307 b,2.43,7.44,10.4208,797.0,5367.0,0.91,0.81,0.19,298.5,87.6,1.2599705329472133,75.99705329472133,116,151
Kepler-309 b,1.56,3.05,5.923653,531.0,4713.0,0.82,0.72,0.27,165.5,90.8,1.2532873109796185,75.32873109796185,84,103
Kepler-905 b,1.41,2.57,5.08274652,928.0,5461.0,0.95,0.86,0.09,364.0,83.6,1.2926915145113427,79.26915145113426,132,164
Kepler-929 b,1.11,1.41,0.92103214,2362.0,5869.0,1.01,1.02,-0.04,1081.0,78.4,1.1443876308741172,64.43876308741171,307,375
Kepler-1984 b,6.81,37.3,1.99281234,675.0,3638.0,0.45,0.42,-0.14,237.5,74.4,0.8042935908797851,30.429359087978515,88,141
Kepler-1471 b,1.41,2.57,3.63899398,1238.0,5660.0,0.95,0.93,-0.03,519.0,78.8,1.2926915145113427,79.26915145113426,169,211
Kepler-1475 b,2.92,8.85,82.177374,441.0,6214.0,1.18,1.28,0.03,120.5,81.19999999999999,1.0379527115781573,53.795271157815726,65,99
Kepler-636 b,4.45,18.1,16.08066115,614.0,5203.0,0.85,0.8,-0.02,206.99999999999997,79.2,0.914026006817321,41.4026006817321,84,128
Kepler-837 b,2.56,7.08,16.56059504,701.0,5403.0,0.85,0.81,-0.18,250.5,72.8,1.080322265625,58.0322265625,96,131
Kepler-84 b,2.23,40.0,8.726,985.0,6039.0,1.0,1.43,-0.07,392.5,77.2,8.043596291902109,754.3596291902109,272,315
Kepler-84 c,2.36,20.2,12.883,865.0,6039.0,1.0,1.43,-0.07,332.5,77.2,3.6268313702958923,312.6831370295892,169,209
Kepler-84 e,2.6,7.27,27.434389,672.0,6031.0,1.06,1.17,-0.07,236.0,77.2,1.0754437869822484,57.54437869822484,94,131
Kepler-864 b,2.4,6.35,5.83376092,1143.0,5754.0,1.0,1.0,0.04,471.5,81.60000000000001,1.1024305555555556,60.24305555555556,154,200
KOI-1599.02,1.9,9.0,13.6088,755.0,5833.0,1.02,0.97,0.06,277.5,82.4,2.4930747922437675,199.30747922437675,134,167
Kepler-1627 b,3.69,13.2,7.20283653,794.0,5445.0,0.87,0.84,-0.1,297.0,76.0,0.9694405887148302,46.944058871483016,106,151
Kepler-418 b,13.45,349.61125,86.67856,434.0,5820.0,0.98,1.09,-0.05,117.0,78.0,1.9325949060958252,143.2594906095825,81,184
Kepler-299 c,2.65,7.51,6.885875,946.0,5617.0,1.0,1.03,0.12,373.0,84.80000000000001,1.0694197223211106,56.94197223211106,130,172
Kepler-294 c,2.71,7.8,6.6264,895.0,5913.0,0.95,0.98,0.11,347.5,84.39999999999999,1.062077041434621,56.2077041434621,123,166
Kepler-760 b,3.06,9.59,8.70419416,748.0,5322.0,0.89,0.85,0.08,274.0,83.2,1.0241787346746978,52.417873467469775,104,142
Kepler-285 b,1.34,2.36,2.633867,1131.0,5411.0,0.92,0.81,0.17,465.5,86.8,1.314323902873691,81.4323902873691,159,195
Kepler-294 b,1.77,3.78,3.701212,1087.0,5913.0,0.95,0.98,0.11,443.49999999999994,84.39999999999999,1.2065498419994254,70.65498419994253,150,191
Kepler-199 c,3.25,10.6,67.093408,420.0,5644.0,0.96,0.97,0.0,110.00000000000001,80.0,1.003550295857988,50.3550295857988,62,95
Kepler-207 b,1.57,3.09,1.611865,1930.0,5920.0,1.31,1.59,0.29,865.0,91.60000000000001,1.253600551746521,75.3600551746521,259,319
Kepler-311 b,1.7,3.53,9.176092,960.0,5905.0,0.99,1.19,-0.03,380.0,78.8,1.221453287197232,72.1453287197232,133,171
Kepler-218 b,1.48,2.79,3.619337,1156.0,5502.0,1.02,1.06,0.37,478.0,94.80000000000001,1.2737399561723888,77.37399561723888,163,202
Kepler-210 b,2.94,8.96,2.453234,737.0,4559.0,0.77,0.65,0.277,268.5,91.08000000000001,1.0366051182377716,53.660511823777156,105,138
Kepler-186 d,1.4,2.54,13.342996,379.0,3788.0,0.48,0.47,-0.28,89.5,68.8,1.295918367346939,79.5918367346939,59,70
Kepler-295 c,1.17,1.71,21.526258,621.0,5603.0,0.89,0.9,-0.03,210.5,78.8,1.2491781722550954,74.91781722550954,91,115
Kepler-402 e,1.46,2.73,11.242861,931.0,6090.0,1.07,1.26,-0.08,365.5,76.8,1.2807280915744044,78.07280915744043,130,166
Kepler-229 d,3.85,14.2,41.194912,439.0,5120.0,0.81,0.73,0.06,119.5,82.4,0.9580030359251137,45.80030359251137,64,99
Kepler-1440 b,1.26,2.13,39.859484,597.0,5698.0,0.98,0.96,0.04,198.5,81.60000000000001,1.3416477702191987,84.16477702191986,91,115
Kepler-549 c,2.93,8.91,117.040498,349.0,5360.0,0.88,0.84,-0.03,74.5,78.8,1.0378688161772414,53.786881617724134,78,81
Kepler-952 b,7.65,45.4,130.3546919,369.0,5730.0,1.0,0.99,0.06,84.5,82.4,0.7757700029903027,27.577000299030274,76,113
Kepler-1013 b,2.15,5.27,18.93054959,766.0,4954.0,0.81,0.76,0.04,283.0,81.60000000000001,1.1400757166035695,64.00757166035696,108,139
Kepler-1768 b,2.233,5.62,15.13589954,933.0,6050.0,1.24,1.57,0.14,366.5,85.60000000000001,1.1270907081398611,62.70907081398611,130,171
Kepler-109 c,2.65,8.2,21.22265,859.0,5950.0,1.09,1.39,-0.02,329.5,79.2,1.1676753292986828,66.76753292986828,119,161
Kepler-1023 b,2.63,7.41,62.1387714,524.0,5494.0,0.93,0.89,0.05,162.0,82.0,1.0712891613294975,57.12891613294975,77,107
Kepler-193 c,2.75,8.0,50.697494,595.0,6335.0,1.05,1.15,0.0,197.5,80.0,1.0578512396694215,55.78512396694215,85,122
Kepler-364 c,2.15,5.27,59.980627,568.0,6108.0,1.08,1.28,-0.031,184.0,78.76,1.1400757166035695,64.00757166035696,82,114
Kepler-159 b,2.38,6.26,10.139623,447.0,4625.0,0.63,0.66,-0.04,123.50000000000001,78.4,1.105147941529553,60.51479415295531,66,89
Kepler-202 b,1.63,3.29,4.069427,802.0,4668.0,0.68,0.67,-0.21,301.0,71.6,1.2382852196168468,73.82852196168469,111,139
Kepler-603 b,2.65,7.51,21.05358596,731.0,5808.0,1.01,1.01,0.03,265.5,81.19999999999999,1.0694197223211106,56.94197223211106,102,140
Kepler-635 b,2.64,7.46,23.44971004,802.0,6174.0,1.33,1.51,0.41,301.0,96.4,1.0703627180899906,57.03627180899906,116,156
Kepler-311 d,2.05,4.86,232.040326,327.0,5903.0,0.97,1.16,-0.1,63.5,76.0,1.156454491374182,65.64544913741821,77,76
Kepler-1789 b,2.831,8.4,80.23190308,380.0,5436.0,0.92,0.89,0.12,90.0,84.80000000000001,1.0480923409279685,54.809234092796856,59,87
Kepler-913 c,3.858,14.2,5.93911982,1357.0,6068.0,1.29,1.8,0.16,578.5,86.4,0.9540340995973976,45.40340995973976,180,242
Kepler-916 b,1.76,3.75,32.2968798,503.0,5248.0,0.85,0.81,-0.05,151.5,78.0,1.2106146694214877,71.06146694214877,75,99
TOI-1064 b,2.587,13.5,6.443868,784.0,4734.0,0.75,0.73,0.05,292.0,82.0,2.017162617225164,151.71626172251644,128,161
Kepler-1143 c,3.6,12.6,210.630591,234.0,5053.0,0.81,0.77,-0.06,17.0,77.60000000000001,0.9722222222222221,47.22222222222221,37,65
Kepler-240 b,1.37,2.45,4.144495,864.0,4985.0,0.87,0.74,0.41,332.0,96.4,1.3053439181629283,80.53439181629282,128,156
Kepler-271 c,0.95,0.809,7.41086267,850.0,5555.0,0.9,0.87,-0.13,325.0,74.8,0.896398891966759,39.6398891966759,112,140
Kepler-238 b,1.73,3.64,2.090876,1642.0,5751.0,1.23,1.43,0.34,721.0,93.6,1.216211701025761,71.62117010257609,223,276
Kepler-226 b,1.55,24.0,3.940997,1018.0,5571.0,0.9,0.8,0.09,409.0,83.6,9.989594172736732,948.9594172736732,317,353
Kepler-107 d,0.86,7.7,7.95839,1173.0,5854.0,1.24,1.45,0.321,486.5,92.84000000000002,10.411032990805841,991.1032990805842,348,384
Kepler-1646 b,1.23,2.04,4.48558383,365.0,3299.0,0.24,0.26,0.04,82.5,81.60000000000001,1.3484037279397185,84.84037279397185,87,68
Kepler-357 c,2.67,7.61,16.85837,576.0,5036.0,0.79,0.83,0.06,188.0,82.4,1.0674858673848702,56.74858673848702,83,113
Kepler-373 c,1.24,2.07,16.725948,729.0,5787.0,0.98,0.85,0.14,264.5,85.60000000000001,1.3462539021852236,84.62539021852236,109,137
Kepler-1383 b,1.41,2.57,13.9093583,928.0,6370.0,1.26,1.44,0.03,364.0,81.19999999999999,1.2926915145113427,79.26915145113426,131,168
Kepler-531 b,2.78,8.15,29.88485741,453.0,4893.0,0.78,0.75,-0.03,126.49999999999999,78.8,1.0545520418197818,55.45520418197818,66,93
Kepler-374 b,1.03,1.08,1.897806,1761.0,5977.0,1.03,0.91,0.111,780.5,84.44,1.0180035818644548,51.800358186445486,231,284
Kepler-157 d,1.46,2.73,7.02573474,969.0,5866.0,1.02,1.03,-0.01,384.5,79.60000000000001,1.2807280915744044,78.07280915744043,136,172
Kepler-191 b,1.34,2.36,9.939632,722.0,5282.0,0.86,0.79,0.13,261.0,85.2,1.314323902873691,81.4323902873691,107,133
Kepler-215 e,1.75,3.71,68.16101,405.0,5739.0,0.79,1.03,-0.443,102.49999999999999,62.28,1.2114285714285715,71.14285714285715,59,83
Kepler-62 f,1.41,35.0,267.291,208.0,4925.0,0.69,0.64,-0.37,4.0,65.19999999999999,17.6047482521,1710.4748252099998,363,375
Kepler-1558 b,0.68,0.244,3.50470358,1019.0,5101.0,0.83,0.79,0.0,409.5,80.0,0.5276816608996538,2.768166089965385,127,155
Kepler-802 b,3.54,12.3,40.0587473,489.0,5507.0,0.93,0.9,0.06,144.5,82.4,0.9815187206741358,48.15187206741358,70,106
Kepler-342 e,0.88,0.615,1.64422461,1897.0,6366.0,1.26,1.34,0.12,848.5,84.80000000000001,0.7941632231404959,29.41632231404959,243,301
Kepler-1515 b,9.55,66.2,214.3114164,380.0,6511.0,1.3,1.41,0.07,90.0,82.8,0.7258572955785202,22.58572955785202,52,130
Kepler-1499 b,1.19,1.81,44.2008,409.0,5097.0,0.82,0.78,-0.01,104.5,79.60000000000001,1.2781583221523904,77.81583221523904,66,82
Kepler-343 c,2.02,4.74,23.22182,746.0,5807.0,1.06,1.43,0.145,273.0,85.8,1.1616508185472012,66.16508185472011,107,141
Kepler-203 b,2.57,7.13,3.162697,1308.0,5821.0,1.06,1.11,0.08,554.0,83.2,1.0795015821587006,57.95015821587006,175,226
Kepler-1669 c,1.901,4.27,1.60932005,958.0,4224.0,0.61,0.6,-0.2,379.0,72.0,1.1815813875750214,68.15813875750214,130,161
Kepler-379 c,2.29,5.86,62.784697,530.0,6054.0,1.12,1.31,0.09,165.0,83.6,1.1174462729543677,61.74462729543677,79,110
Kepler-18 d,6.98,16.4,14.85888,720.0,5345.0,0.97,1.11,0.19,260.0,87.6,0.33661464191591195,-16.338535808408807,88,152
Kepler-1088 b,1.42,2.6,23.12748644,667.0,5975.0,1.08,1.08,0.05,233.5,82.0,1.2894267010513787,78.94267010513786,99,127
Kepler-373 b,1.36,2.42,5.535309,1054.0,5787.0,0.98,0.85,0.14,426.99999999999994,85.60000000000001,1.3083910034602073,80.83910034602073,149,185
Kepler-33 b,1.74,3.68,5.66793,1336.0,5904.0,1.29,1.82,0.025,568.0,81.0,1.21548421191703,71.548421191703,181,228
Kepler-76 b,15.244,638.8383,1.5449298,2140.0,6409.0,1.2,1.32,-0.1,969.9999999999999,76.0,2.749115997890623,224.91159978906234,310,470
Kepler-58 b,2.78,35.5,10.2184954,920.0,5843.0,0.95,1.03,0.1,360.0,84.00000000000001,4.593447544122975,409.34475441229756,197,240
Kepler-421 b,4.16,16.1,704.1984,185.0,5308.0,0.79,0.76,-0.25,-7.5,70.0,0.9303346893491125,43.03346893491125,28,60
Kepler-183 b,2.06,4.9,5.687945,1088.0,5888.0,0.99,0.96,0.11,444.00000000000006,84.39999999999999,1.1546799886888492,65.46799886888492,149,192
