pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score
K2-205 b,1.996,4.64,26.672263,912.5307146386988,5890.0,0.95,1.08,-0.26,0.0,-1.5227067153017284,1.1646539572130232,-0.1609291905736254,38.28,20.8525
K2-209 b,0.869,0.586,2.080615,912.5307146386988,4720.0,0.74,0.71,-0.06,0.0,-0.4123076641154194,0.7759934636455007,-0.18334180816937118,37.25,12.04
K2-213 b,1.514,2.9,8.13087,912.5307146386988,5794.0,1.07,1.2,0.25,0.0,1.3088108652233592,1.2651623159625092,-0.15513324411878743,60.16,16.82
HIP 38594 c,7.94,48.4,3477.768,912.5307146386988,4086.3,0.61,0.63,0.014262971257932,0.0,-3.3709117781417086e-16,0.7677226554321136,-0.18381875518292762,77.85,48.82
CoRoT-35 b,18.831,349.61125,3.22748,1747.0,6390.0,1.01,1.65,-0.5,2.0912758244518734,-2.8551855767252987,0.9859130891828028,-0.1712365173799117,51.99,40.57
Kepler-230 b,4.26,16.8,32.625555,506.0,5588.0,0.78,0.82,-0.21,-1.0188126397641537,-1.245106952505151,0.9257422469086825,-0.17470634799203566,58.67,39.88
Kepler-822 b,1.77,3.78,3.22296927,1239.0,5928.0,1.06,1.08,0.04,0.8181695071096159,0.142891861477735,1.2065498419994254,-0.15851320937642682,52.98,18.17
KOI-7368 b,2.22,5.56,6.8430344,805.0,5241.0,0.88,0.87,0.058,-0.26948431518672245,0.24282777608450282,1.128155182209236,-0.16303394034987434,57.95,22.24
Kepler-1487 b,2.13,5.18,7.31946363,1682.0,6541.0,1.38,1.63,0.04,1.9283783625872146,0.142891861477735,1.1417487711873748,-0.16225004819576264,57.63,21.13
Kepler-204 b,2.53,6.94,14.400974,828.0,5812.0,1.04,1.24,0.07,-0.21184367483461236,0.3094517191556813,1.0842225312065492,-0.16556737434480523,63.04,25.49
Kepler-103 b,3.486,9.8,15.9653287,973.0,6009.0,1.21,1.49,0.16,0.15154297086347301,0.8091312921895204,0.8064386058289382,-0.18158614907692744,77.47,30.21
Kepler-1876 b,0.853,2.4,6.99205,1299.0,6104.0,1.19,1.48,0.01,0.9685363949846857,-0.023667996200211323,3.2984748676830558,-0.037879606487553896,42.41,16.7
Kepler-1934 b,0.913,0.702,1.41975999,1700.0,5925.0,0.97,1.04,-0.14,1.9734884289497356,-0.8564672845899429,0.8421618366326001,-0.1795261220751145,33.74,12.15
Kepler-1344 b,1.84,4.04,4.7683049,1219.0,5981.0,1.09,1.13,0.06,0.7680472111512593,0.25393176659636585,1.193289224952741,-0.1592779002669851,54.77,18.97
Kepler-1673 b,2.936,8.93,33.7888,611.0,6014.95,1.11,1.13,0.228,-0.7556705859827815,1.1866669695928653,1.0359513397530606,-0.16835099597047506,74.33,29.76
Kepler-1052 b,2.93,8.91,34.8538276,522.0,5888.0,1.03,1.03,0.0,-0.9787148029974684,-0.07918794875952677,1.0378688161772414,-0.1682404221752083,60.85,30.32
Kepler-770 b,2.3,5.9,18.92540274,1171.0,5598.0,0.94,0.92,-0.01,0.6477537008512034,-0.1347079013188422,1.11531190926276,-0.16377456454500405,56.69,23.02
Kepler-1335 b,1.45,2.7,6.26406846,809.0,4903.0,0.77,0.74,-0.07,-0.25945985599505117,-0.4678276166747349,1.2841854934601666,-0.1540362476147244,41.94,16.42
Kepler-1311 b,1.24,2.07,11.1726994,1019.0,5748.0,1.05,1.4,0.09,0.2668242515676932,0.42049162427431214,1.3462539021852236,-0.1504569913420786,49.11,15.64
Kepler-97 c,5.736252784918595,344.0,789.0,912.5307146386988,5779.0,0.94,0.98,-0.2,0.0,-1.1895869999458355,10.454466600029429,0.3747800511566408,65.81,72.78
Kepler-106 e,2.56,11.17,43.8445,531.0,5858.0,1.0,1.04,-0.12,-0.956159769816208,-0.745427379471312,1.70440673828125,-0.12980363786493268,52.06,32.65
Kepler-630 b,3.18,10.2,161.4743937,343.0,5829.0,1.02,1.04,0.03,-1.42730935182476,0.08737190891841955,1.0086626320161385,-0.16992463512678785,61.78,47.55
Kepler-801 b,2.0,4.66,11.41928253,419.0,4435.0,0.67,0.63,-0.17,-1.236844627183005,-1.0230271422678892,1.165,-0.1609092355620288,38.83,21.21
Kepler-391 b,3.2,10.3,7.416755,1425.0,4940.0,1.33,3.57,-0.07,1.2843068595223324,-0.4678276166747349,1.0058593749999998,-0.17008628862274422,62.84,31.79
Kepler-263 c,2.47,6.66,47.332773,386.0,5265.0,0.79,0.79,-0.031,-1.3195464155142933,-0.25129980169340466,1.0916422167221227,-0.16513950843897357,51.63,31.06
Kepler-1035 b,1.17,1.71,2.71407755,1301.0,5763.0,0.98,0.97,-0.03,0.9735486245805213,-0.2457478064374731,1.2491781722550954,-0.1560549907496872,41.95,14.09
Kepler-1743 b,1.599,3.18,7.64971018,1144.0,5855.0,1.27,1.61,0.4,0.580088601307422,2.1416101536130907,1.2437416912774988,-0.15636849256228205,69.52,17.7
Kepler-1003 b,1.78,3.82,3.55485692,1157.0,6109.0,1.11,1.17,0.01,0.6126680936803538,-0.023667996200211323,1.205655851533897,-0.15856476251025375,51.15,18.26
Kepler-244 c,2.05,4.86,9.767292,791.0,5554.0,0.93,0.8,0.07,-0.3045699223575721,0.3094517191556813,1.156454491374182,-0.16140202353549526,56.94,21.06
